area,category_searched,name,address,rating,review_count,website,phone,types,business_status,price_level
"Burari, Delhi",cafes,Tealogy Cafe Burari,"Khasra 137/23/2/2 Shop number 1, gate no 2, 100 Feet Rd, behind Rani public school, A-2 Block, Block B, Sant Nagar, Burari, New Delhi, Delhi, 110084, India",4.8,641.0,https://tealogy.in/city/tea-cafe-franchise-burari,098211 94456,"cafe, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,"Royal Regal Cafe, Lounge & Restra","First Floor, kh. No. 540, Main Road, opposite Shalimar Palace, near Aapka Budget Bazaar, Data Ram Tyagi Enclave, Block A, Extension Colony, Burari, Delhi, 110084, India",4.7,1056.0,,093197 61115,"north_indian_restaurant, indian_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,Meet and Treat Cafe,"Street Number 4, near by Muthoot finance, A-2 Block, Virendar Nagar, Block B, West Sant Nagar, Burari, Delhi, 110084, India",4.6,504.0,https://meet-and-treat-cafe.grexa.site/,090131 61184,"restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,Road Bench Cafe family restaurant,"1st floor, near Medlife hospital and Bata showroom, Block D, Kamal Pur, Burari, Delhi, 110084, India",4.3,337.0,,085859 57900,"family_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,#Foodcafe,"foodcafe, B, 15, 100 Feet Rd, near rani public school Teamabhishek health club, Virendar Nagar, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.9,16.0,,085953 44770,"cafe, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,Delhi Foodie Cafe (DFC),"chowk, Burari, Delhi, 110084, India",4.4,57.0,,099582 49957,"restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,DX Cafe,"Block B, Sant Nagar, Burari, Delhi, 110084, India",4.9,44.0,,093195 47003,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,The old smoke cafe,"109, Sant Nagar Marg, Block B, Sant Nagar, Burari, Delhi, 110084, India",3.4,97.0,,,"bar, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,The Delicious Cafe,"1st floor, CHARAN SINGH PLAZA, Main 100, Futa Road, opposite kapil Public school, near Shalimar Palace, Conductor Colony, Burari Garhi, Burari, Delhi, 110084, India",4.4,39.0,https://thedeliciouscafe.landinghero.app/,088511 59031,"restaurant, cafe, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,URBAN EATS CAFE,"House Number 1 Gali Number 20 Block 8A Swami dayanand Colony, On, Oscar Public School Rd, Block 8A, Kaushik Enclave, Swami Dayanand Enclave, Burari, Delhi, 110084, India",4.9,123.0,https://urban-eats-cafe.grexa.site/,083768 56474,"food_court, cafe, fast_food_restaurant, chinese_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,Chaap N Tandor Tadkaa,"A10, Nathu Pura Main Rd, near Pilli Kothi, Block B, Nathu Pura, Burari, Delhi, 110084, India",4.9,327.0,,097117 99331,"restaurant, family_restaurant, breakfast_restaurant, cafe, indian_restaurant, chinese_restaurant, event_venue, service, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,Mittal Sweets and Snacks,"Kh. No. 828, 100, Futta Main Road, Prem Nagar, Baba Colony, Burari, Delhi, 110084, India",4.6,1276.0,https://www.mittalsweetandsnacks.com/,098997 73223,"restaurant, gift_shop, banquet_hall, fine_dining_restaurant, swimming_pool, bakery, event_venue, sports_activity_location, service, food_store, store, food, point_of_interest, establishment",OPERATIONAL,
