name,area,pincode,category_searched,rating,review_count,review_outlier,has_website,has_phone,has_price_info,price_level_clean,num_types,business_status
Adonize The Family Salon,"Burari, Delhi",110084,salons,4.5,30,0,1,0,0,,4,OPERATIONAL
UNISEX SALON & ACADEMY,"Burari, Delhi",110084,salons,2.6,10,0,1,1,0,,3,OPERATIONAL
MUSCULUS The Fitness Studio,"Burari, Delhi",110084,gyms,4.9,329,0,0,1,0,,6,OPERATIONAL
The Wellness club gym [ burari branch ],"Burari, Delhi",110084,gyms,4.8,69,0,0,0,0,,5,OPERATIONAL
Real Fitness Gym,"Burari, Delhi",110084,gyms,5.0,69,0,0,1,0,,5,OPERATIONAL
The Robust Gym & Crossfit,"Burari, Delhi",110084,gyms,4.8,72,0,0,0,0,,5,OPERATIONAL
16 Inches Fitness Club GYM,"Burari, Delhi",110084,gyms,5.0,24,0,0,1,0,,5,OPERATIONAL
The Gym,"Burari, Delhi",110084,gyms,4.3,264,0,1,0,0,,5,OPERATIONAL
Iron Sculpt Gym,"Burari, Delhi",110084,gyms,4.6,311,0,0,1,0,,5,OPERATIONAL
REVIVE gym,"Burari, Delhi",110084,gyms,5.0,62,0,0,0,0,,5,OPERATIONAL
Country Fitness Gym sant nagar burari,"Burari, Delhi",110084,gyms,4.1,478,0,1,1,0,,5,OPERATIONAL
FITNOMICS FITNESS GYM,"Burari, Delhi",110084,gyms,5.0,76,0,0,1,0,,5,OPERATIONAL
SK Fitness,"Burari, Delhi",110084,gyms,5.0,190,0,0,1,0,,6,OPERATIONAL
Aqua Fitness Studio,"Burari, Delhi",110084,gyms,4.7,111,0,0,1,0,,6,OPERATIONAL
Body Fuel Gym,"Burari, Delhi",110084,gyms,4.5,179,0,0,1,0,,5,OPERATIONAL
H platinum gym burari,"Burari, Delhi",110084,gyms,4.6,72,0,0,1,0,,5,OPERATIONAL
Fitness Arena Unisex Gym,"Burari, Delhi",110084,gyms,5.0,26,0,1,1,0,,5,OPERATIONAL
Pack Physique,"Burari, Delhi",110084,gyms,4.4,167,0,0,0,0,,5,OPERATIONAL
Active Life Unisex Gym,"Burari, Delhi",110084,gyms,4.8,201,0,0,1,0,,5,OPERATIONAL
Fitness Fair Gym,"Burari, Delhi",110084,gyms,4.7,55,0,0,0,0,,5,OPERATIONAL
Fitness Law Gym,"Burari, Delhi",110084,gyms,4.4,70,0,0,1,0,,5,OPERATIONAL
M fit gym,"Burari, Delhi",110084,gyms,4.8,32,0,0,1,0,,5,OPERATIONAL
V-Mart - Delhi-Burari,"Burari, Delhi",110084,clothing stores,4.9,7647,0,1,1,0,,8,OPERATIONAL
GROVER GARMENTS,"Burari, Delhi",110084,clothing stores,4.3,1021,0,0,1,0,,4,OPERATIONAL
"Picola Vastra Bhandar- Sant Nagar, Burari | Womens | Mens | Kids | Wedding | Ethnic | Party | Casual | Western | Plus Size","Burari, Delhi",110084,clothing stores,4.9,819,0,1,1,0,,5,OPERATIONAL
Shivani Garments,"Burari, Delhi",110084,clothing stores,5.0,104,0,0,1,0,,4,OPERATIONAL
OCTAVE - Burari,"Burari, Delhi",110084,clothing stores,4.8,128,0,0,1,0,,4,OPERATIONAL
Cantabil,"Burari, Delhi",110084,clothing stores,4.8,175,0,1,1,0,,5,OPERATIONAL
Janta Vastra Bhandar,"Burari, Delhi",110084,clothing stores,3.8,346,0,0,1,0,,4,OPERATIONAL
Richlook Store Burari,"Burari, Delhi",110084,clothing stores,4.8,25,0,1,1,0,,4,OPERATIONAL
ADITI SAKHI (LADIES WEAR & KIDS WEAR),"Burari, Delhi",110084,clothing stores,4.8,38,0,0,1,0,,4,OPERATIONAL
CityKart Burari,"Burari, Delhi",110084,clothing stores,4.7,534,0,1,1,0,,7,OPERATIONAL
Riwaaz Selection,"Burari, Delhi",110084,clothing stores,3.9,81,0,0,1,0,,4,OPERATIONAL
Klub Fox | Burari | Factory Outlet,"Burari, Delhi",110084,clothing stores,4.3,33,0,1,1,0,,4,OPERATIONAL
V2 Retail - Sant Nagar,"Burari, Delhi",110084,clothing stores,3.7,18,0,1,1,0,,7,OPERATIONAL
UV Fashion - Burari,"Burari, Delhi",110084,clothing stores,5.0,6,0,0,0,0,,4,OPERATIONAL
KRAZE Raymond Showroom,"Burari, Delhi",110084,clothing stores,4.6,29,0,1,1,0,,4,OPERATIONAL
