name,area,category_searched,rating,review_count,website_propensity_score,lead_score
Echoes,"Model Town, Delhi",cafes,4.4,4906.0,0.6917929934518283,0.7799211853816777
N S Telecom,"Model Town, Delhi",electronics shops,4.9,1236.0,0.7157890001010524,0.779304895226446
The Cakery,"Laxmi Nagar, Delhi",bakeries,4.9,1028.0,0.7219341253192815,0.778831396374016
Nagi Jewellers,"Janakpuri, Delhi",jewellery shops,4.8,776.0,0.729772117419098,0.7771294095290087
Ganesh Restaurant,"Karol Bagh, Delhi",restaurants,4.1,4341.0,0.6886796333850927,0.7766778194941324
Spanish Churros,"Rajouri Garden, Delhi",bakeries,4.9,272.0,0.7760488771179869,0.7764349060241132
Mazaar Restaurant,"Lajpat Nagar, Delhi",restaurants,4.3,8788.0,0.6846237524343662,0.7764338585379663
Smelling Salts,"Ashok Vihar, Delhi",restaurants,4.2,2751.0,0.6940323623301419,0.7762724806207186
Versha Clinic,"Karol Bagh, Delhi",clinics,4.9,555.0,0.7386995427435225,0.775645043242265
Cafe' Russmunch,"Pitampura, Delhi",cafes,4.4,1470.0,0.7052587992599204,0.7746846196895567
SHEIN STYLE STORE,"Saket, Delhi",clothing stores,4.9,6406.0,0.6828226655095554,0.77457621187745
Body Mechanics | Best Gym in East Delhi,"Preet Vihar, Delhi",gyms,4.6,563.0,0.7362735635816754,0.7745177920850274
SLAM SALON A LUXURY SALON,"Model Town, Delhi",salons,4.9,568.0,0.7352808327268148,0.7741602507288394
Dripping Dose,"Patel Nagar, Delhi",cafes,4.5,855.0,0.7214008989054551,0.7738906638358947
BL Jewellers,"Dwarka, Delhi",jewellery shops,4.8,1075.0,0.711643515252339,0.7724065160399591
Vardaan Mobile,"Malviya Nagar, Delhi",mobile shops,5.0,1017.0,0.7124313316666537,0.7713230394330935
Kym’s Salon,"Rajouri Garden, Delhi",salons,4.7,470.0,0.7385152850823778,0.7709745403881143
Apollo Clinic - Best Clinic | X Ray | Physiotherapy | TMT | ECG | 2D Echo Test | Ultrasound | PFT,"Greater Kailash, Delhi",clinics,4.8,1286.0,0.7021886224946458,0.7704593713863903
Manohar Lal Jewellers Preet Vihar,"Preet Vihar, Delhi",jewellery shops,4.8,4465.0,0.677956154028803,0.7694308995156638
N S Telecom,"Ashok Vihar, Delhi",mobile shops,4.9,1236.0,0.7010313393852668,0.7689745327253961
Hunger Strike,"Lajpat Nagar, Delhi",restaurants,4.1,11760.0,0.6711053258372816,0.767697603518623
Gehna Store(A.G. artificial jewellery store),"Rohini, Delhi",jewellery shops,4.8,275.0,0.7628591110200221,0.7675653915548459
R.K Steel Furniture,"Tilak Nagar, Delhi",furniture stores,4.9,1559.0,0.6941246765418984,0.76748761960009
Epicuria Food & Entertainment HUB,"Nehru Place, Delhi",restaurants,4.4,25741.0,0.6672656999291635,0.7668005228223868
Amyra Jewels - Vikas Marg,"Preet Vihar, Delhi",jewellery shops,4.9,4582.0,0.6738344475000722,0.766649511173926
Café Amudham Restaurant Punjabi Bagh,"Punjabi Bagh, Delhi",restaurants,4.6,326.0,0.7521070146331016,0.7659558791013026
"Uncultured Cafe, Bar, Sky Culture","Greater Kailash, Delhi",cafes,4.1,2899.0,0.6774102565636788,0.765156037726063
N S Telecom,"Model Town, Delhi",mobile shops,4.9,1236.0,0.6950483223678727,0.7647864208132202
CAFE BELMONTE - Bar & Restaurant,"Kalkaji, Delhi",restaurants,4.4,696.0,0.7144446827356256,0.7644797900256645
SHEIN STYLE STORE,"Mayapuri, Delhi",clothing stores,4.9,6406.0,0.6680899998396335,0.7642633459085046
Smart Mobile Store,"Punjabi Bagh, Delhi",mobile shops,4.9,2842.0,0.6757351696462542,0.7637499128700249
Elito Coffee Eatery,"Dwarka, Delhi",cafes,4.5,521.0,0.7215773675141525,0.7619986209277267
Cafe Wink,"Preet Vihar, Delhi",cafes,4.3,9447.0,0.6635142704838924,0.7619686398577559
