name,area,pincode,category_searched,rating,review_count,review_outlier,has_website,has_phone,has_price_info,price_level_clean,num_types,business_status,website_propensity_score
"The Valid Unisex Salon - Best Makeup Artist in Delhi, Bridal Makeup Artist, Nail Extension & Beauty Parlour in Burari, Delhi","Burari, Delhi",110084.0,salons,4.5,91.0,0,1,1,0,0.0,13,OPERATIONAL,0.6215064617191062
Swanky unisex salon,"Burari, Delhi",110084.0,salons,4.4,188.0,0,0,1,0,0.0,4,OPERATIONAL,0.4067105449751094
The w salon & academy,"Burari, Delhi",110084.0,salons,4.3,413.0,0,0,1,0,0.0,11,OPERATIONAL,0.5261308441483065
Devika Salon & Academy - Best Salon in Sant Nagar Burari Delhi,"Burari, Delhi",110084.0,salons,4.8,154.0,0,1,0,0,0.0,4,OPERATIONAL,0.43689340013865824
Ozone Beauty Parlour,"Burari, Delhi",110084.0,salons,4.9,560.0,0,0,1,0,0.0,4,OPERATIONAL,0.4906747854212407
Devika Elegance unisex salon (salon near me),"Burari, Delhi",110084.0,salons,4.8,87.0,0,0,1,0,0.0,6,OPERATIONAL,0.39175841624381497
The Ashh Family Salon And Academy,"Burari, Delhi",110084.0,salons,4.8,75.0,0,0,1,0,0.0,12,OPERATIONAL,0.49187059765942176
Hair Theory Luxury Salon & Academy,"Burari, Delhi",110084.0,salons,5.0,41.0,0,0,0,0,0.0,5,OPERATIONAL,0.37688171874213044
LOONIX UNISEX SALON & ACADEMY,"Burari, Delhi",110084.0,salons,4.8,131.0,0,0,1,0,0.0,9,OPERATIONAL,0.5157823450482436
Sudiksha Makeup Studio - Best Makeup Artist,"Burari, Delhi",110084.0,salons,4.7,128.0,0,1,1,0,0.0,9,OPERATIONAL,0.5891216445392954
AD BEAUTY LOUNGE LADIES PARLOUR,"Burari, Delhi",110084.0,salons,5.0,506.0,0,0,1,0,0.0,4,OPERATIONAL,0.5127641322094312
BEAUTY LOUNGE BY SRISH MAKEOVER,"Burari, Delhi",110084.0,salons,4.9,172.0,0,1,1,0,0.0,11,OPERATIONAL,0.5287874277002849
Nails by Rashika unisex salon,"Burari, Delhi",110084.0,salons,5.0,48.0,0,1,1,0,0.0,4,OPERATIONAL,0.4179760403413893
Poonam makeovers,"Burari, Delhi",110084.0,salons,5.0,37.0,0,1,1,0,0.0,4,OPERATIONAL,0.4203088970413112
"DP Studio Unisex Salon - Nailart , Hair treatment, Beauty & Bridal Makeup Best Salon in burari","Burari, Delhi",110084.0,salons,4.9,7.0,0,0,1,0,0.0,6,OPERATIONAL,0.29680172829352464
Neeta Mehra Makeover,"Burari, Delhi",110084.0,salons,5.0,26.0,0,0,1,0,0.0,8,OPERATIONAL,0.3903922349806533
Adonize The Family Salon,"Burari, Delhi",110084.0,salons,4.5,30.0,0,1,0,0,0.0,4,OPERATIONAL,0.4255691244704075
UNISEX SALON & ACADEMY,"Burari, Delhi",110084.0,salons,2.6,10.0,0,1,1,0,0.0,3,OPERATIONAL,0.38489584446243297
MUSCULUS The Fitness Studio,"Burari, Delhi",110084.0,gyms,4.9,329.0,0,0,1,0,0.0,6,OPERATIONAL,0.4015302098329833
The Wellness club gym [ burari branch ],"Burari, Delhi",110084.0,gyms,4.8,69.0,0,0,0,0,0.0,5,OPERATIONAL,0.2935873045400195
Real Fitness Gym,"Burari, Delhi",110084.0,gyms,5.0,69.0,0,0,1,0,0.0,5,OPERATIONAL,0.29489165360171815
The Robust Gym & Crossfit,"Burari, Delhi",110084.0,gyms,4.8,72.0,0,0,0,0,0.0,5,OPERATIONAL,0.29483751732782837
16 Inches Fitness Club GYM,"Burari, Delhi",110084.0,gyms,5.0,24.0,0,0,1,0,0.0,5,OPERATIONAL,0.27678344553317935
The Gym,"Burari, Delhi",110084.0,gyms,4.3,264.0,0,1,0,0,0.0,5,OPERATIONAL,0.48376708308186533
Iron Sculpt Gym,"Burari, Delhi",110084.0,gyms,4.6,311.0,0,0,1,0,0.0,5,OPERATIONAL,0.41872892808507595
REVIVE gym,"Burari, Delhi",110084.0,gyms,5.0,62.0,0,0,0,0,0.0,5,OPERATIONAL,0.2927846815231775
Country Fitness Gym sant nagar burari,"Burari, Delhi",110084.0,gyms,4.1,478.0,0,1,1,0,0.0,5,OPERATIONAL,0.48520541073589335
FITNOMICS FITNESS GYM,"Burari, Delhi",110084.0,gyms,5.0,76.0,0,0,1,0,0.0,5,OPERATIONAL,0.29644357296824847
SK Fitness,"Burari, Delhi",110084.0,gyms,5.0,190.0,0,0,1,0,0.0,6,OPERATIONAL,0.3383152438620781
Aqua Fitness Studio,"Burari, Delhi",110084.0,gyms,4.7,111.0,0,0,1,0,0.0,6,OPERATIONAL,0.33606108930990747
Body Fuel Gym,"Burari, Delhi",110084.0,gyms,4.5,179.0,0,0,1,0,0.0,5,OPERATIONAL,0.30011395673323354
H platinum gym burari,"Burari, Delhi",110084.0,gyms,4.6,72.0,0,0,1,0,0.0,5,OPERATIONAL,0.2822009293781228
Fitness Arena Unisex Gym,"Burari, Delhi",110084.0,gyms,5.0,26.0,0,1,1,0,0.0,5,OPERATIONAL,0.31583027715741063
Pack Physique,"Burari, Delhi",110084.0,gyms,4.4,167.0,0,0,0,0,0.0,5,OPERATIONAL,0.2978251597990809
Active Life Unisex Gym,"Burari, Delhi",110084.0,gyms,4.8,201.0,0,0,1,0,0.0,5,OPERATIONAL,0.35737496965012494
Fitness Fair Gym,"Burari, Delhi",110084.0,gyms,4.7,55.0,0,0,0,0,0.0,5,OPERATIONAL,0.2895040953399441
Fitness Law Gym,"Burari, Delhi",110084.0,gyms,4.4,70.0,0,0,1,0,0.0,5,OPERATIONAL,0.2712306983838133
M fit gym,"Burari, Delhi",110084.0,gyms,4.8,32.0,0,0,1,0,0.0,5,OPERATIONAL,0.2817011018467716
V-Mart - Delhi-Burari,"Burari, Delhi",110084.0,clothing stores,4.9,7647.0,0,1,1,0,0.0,8,OPERATIONAL,0.7659848920547606
GROVER GARMENTS,"Burari, Delhi",110084.0,clothing stores,4.3,1021.0,0,0,1,0,0.0,4,OPERATIONAL,0.5998703083112152
"Picola Vastra Bhandar- Sant Nagar, Burari | Womens | Mens | Kids | Wedding | Ethnic | Party | Casual | Western | Plus Size","Burari, Delhi",110084.0,clothing stores,4.9,819.0,0,1,1,0,0.0,5,OPERATIONAL,0.6243183705632973
Shivani Garments,"Burari, Delhi",110084.0,clothing stores,5.0,104.0,0,0,1,0,0.0,4,OPERATIONAL,0.3845059713018778
OCTAVE - Burari,"Burari, Delhi",110084.0,clothing stores,4.8,128.0,0,0,1,0,0.0,4,OPERATIONAL,0.40892955560883604
Cantabil,"Burari, Delhi",110084.0,clothing stores,4.8,175.0,0,1,1,0,0.0,5,OPERATIONAL,0.4261655531527577
Janta Vastra Bhandar,"Burari, Delhi",110084.0,clothing stores,3.8,346.0,0,0,1,0,0.0,4,OPERATIONAL,0.37155660255123907
Richlook Store Burari,"Burari, Delhi",110084.0,clothing stores,4.8,25.0,0,1,1,0,0.0,4,OPERATIONAL,0.36759665205506076
ADITI SAKHI (LADIES WEAR & KIDS WEAR),"Burari, Delhi",110084.0,clothing stores,4.8,38.0,0,0,1,0,0.0,4,OPERATIONAL,0.38411185363721434
CityKart Burari,"Burari, Delhi",110084.0,clothing stores,4.7,534.0,0,1,1,0,0.0,7,OPERATIONAL,0.7554019842107813
Riwaaz Selection,"Burari, Delhi",110084.0,clothing stores,3.9,81.0,0,0,1,0,0.0,4,OPERATIONAL,0.2586243425708454
Klub Fox | Burari | Factory Outlet,"Burari, Delhi",110084.0,clothing stores,4.3,33.0,0,1,1,0,0.0,4,OPERATIONAL,0.385180047005106
V2 Retail - Sant Nagar,"Burari, Delhi",110084.0,clothing stores,3.7,18.0,0,1,1,0,0.0,7,OPERATIONAL,0.49787803131709607
UV Fashion - Burari,"Burari, Delhi",110084.0,clothing stores,5.0,6.0,0,0,0,0,0.0,4,OPERATIONAL,0.3023738949817871
KRAZE Raymond Showroom,"Burari, Delhi",110084.0,clothing stores,4.6,29.0,0,1,1,0,0.0,4,OPERATIONAL,0.39199688689403994
Intimissi Lingerie Store Burari,"Burari, Delhi",110084.0,clothing stores,4.8,183.0,0,1,1,0,0.0,4,OPERATIONAL,0.4194337367395376
Blue feather new fashion & garments,"Burari, Delhi",110084.0,clothing stores,5.0,16.0,0,0,1,0,0.0,5,OPERATIONAL,0.30656196769616967
Lifestyle Fashion,"Burari, Delhi",110084.0,clothing stores,5.0,5.0,0,1,0,0,0.0,4,OPERATIONAL,0.35153232373553805
"Zudio - Burari, Delhi","Burari, Delhi",110084.0,clothing stores,4.0,670.0,0,1,1,0,0.0,3,OPERATIONAL,0.488257478948535
Shri Keshav Cloths & Readymade Garments,"Burari, Delhi",110084.0,clothing stores,4.4,15.0,0,0,1,0,0.0,4,OPERATIONAL,0.2906606981072913
Rajmandir Hypermarket Burari,"Burari, Delhi",110084.0,grocery stores,4.0,1319.0,0,1,1,0,0.0,6,OPERATIONAL,0.4946487288589372
Max Bazaar,"Burari, Delhi",110084.0,grocery stores,4.2,3199.0,0,0,1,0,0.0,9,OPERATIONAL,0.5337071711148583
Vishal Mega Mart,"Burari, Delhi",110084.0,grocery stores,3.8,7583.0,0,1,1,0,0.0,10,OPERATIONAL,0.7105821018636127
V-Mart - Delhi-Burari,"Burari, Delhi",110084.0,grocery stores,4.9,7647.0,0,1,1,0,0.0,8,OPERATIONAL,0.7503334924928754
JR MART,"Burari, Delhi",110084.0,grocery stores,4.4,76.0,0,0,1,0,0.0,11,OPERATIONAL,0.39913636808006087
The Family Mart,"Burari, Delhi",110084.0,grocery stores,4.2,126.0,0,0,1,0,0.0,7,OPERATIONAL,0.31502630377741647
Aapka Budget Bazaar,"Burari, Delhi",110084.0,grocery stores,4.3,217.0,0,0,0,0,0.0,8,OPERATIONAL,0.4693067349957901
Top ten Bazar,"Burari, Delhi",110084.0,grocery stores,3.9,1614.0,0,0,1,0,0.0,6,OPERATIONAL,0.4444442751651302
Kaushalya Mart,"Burari, Delhi",110084.0,grocery stores,4.2,131.0,0,0,1,0,0.0,6,OPERATIONAL,0.26950893343962773
SAVITA store,"Burari, Delhi",110084.0,grocery stores,4.1,188.0,0,0,1,0,0.0,7,OPERATIONAL,0.343017948700609
"Baniya Ki Dukan , Burari Sant Nagar","Burari, Delhi",110084.0,grocery stores,3.8,376.0,0,1,1,0,0.0,7,OPERATIONAL,0.5481846423437781
AAPKA BUDGET BAZAAR (SHALIMAR PALACE BURARI),"Burari, Delhi",110084.0,grocery stores,3.8,52.0,0,0,1,0,0.0,11,OPERATIONAL,0.37561742817324323
Big rashan bazar,"Burari, Delhi",110084.0,grocery stores,3.9,53.0,0,0,1,0,0.0,8,OPERATIONAL,0.35361379986428737
Manguram Lot Market Manguram Chowk,"Burari, Delhi",110084.0,grocery stores,4.3,389.0,0,0,1,0,0.0,3,OPERATIONAL,0.3905583406085141
Arora Store,"Burari, Delhi",110084.0,grocery stores,3.9,205.0,0,1,1,0,0.0,7,OPERATIONAL,0.5279321829634949
Jindal store,"Burari, Delhi",110084.0,grocery stores,4.3,158.0,0,0,0,0,0.0,6,OPERATIONAL,0.27354478654755315
Supermarket,"Burari, Delhi",110084.0,grocery stores,4.3,66.0,0,0,1,0,0.0,7,OPERATIONAL,0.31989709750891876
MUNAFA BAZAR,"Burari, Delhi",110084.0,grocery stores,3.9,820.0,0,1,1,0,0.0,9,OPERATIONAL,0.6123771990463338
Uttrakhand Enclave Part - 1,"Burari, Delhi",110084.0,grocery stores,4.0,323.0,0,0,0,0,0.0,7,OPERATIONAL,0.4660119554012734
Market Basket 11,"Burari, Delhi",110084.0,grocery stores,3.8,8.0,0,0,0,0,0.0,6,OPERATIONAL,0.19489426573482713
VIJAY SALES - BURARI,"Burari, Delhi",110084.0,electronics shops,4.8,3923.0,0,1,1,0,0.0,4,OPERATIONAL,0.7202936401943814
Hariom Electronics - Burari,"Burari, Delhi",110084.0,electronics shops,4.8,2173.0,0,1,1,0,0.0,3,OPERATIONAL,0.6956779753842313
Sanjay Electronics,"Burari, Delhi",110084.0,electronics shops,4.3,58.0,0,0,1,0,0.0,4,OPERATIONAL,0.3117305747108144
Vardhman Electronics | Burari | New Delhi,"Burari, Delhi",110034.0,electronics shops,4.5,53.0,0,1,0,0,0.0,7,OPERATIONAL,0.5150394000171452
Jwala Electricals,"Burari, Delhi",110084.0,electronics shops,3.5,210.0,0,0,0,0,0.0,4,OPERATIONAL,0.31016240176640203
Shri Shyam Electronics,"Burari, Delhi",110084.0,electronics shops,4.8,36.0,0,0,1,0,0.0,4,OPERATIONAL,0.34451374999585227
Krishna Electronics,"Burari, Delhi",110084.0,electronics shops,4.7,90.0,0,0,1,0,0.0,2,OPERATIONAL,0.38192373822077935
Rohini Electronics & Electricals,"Burari, Delhi",110084.0,electronics shops,4.7,52.0,0,1,1,0,0.0,5,OPERATIONAL,0.38531946920317334
PARTIKSHA ELECTRONICS,"Burari, Delhi",110084.0,electronics shops,5.0,40.0,0,0,1,0,0.0,4,OPERATIONAL,0.3216849516600811
Hariom Electronics - Burari (Kaushik Enclave),"Burari, Delhi",110084.0,electronics shops,4.8,606.0,0,1,1,0,0.0,4,OPERATIONAL,0.6894955756770884
Mobinex electronics,"Burari, Delhi",110084.0,electronics shops,4.5,68.0,0,0,1,0,0.0,5,OPERATIONAL,0.3574024975628103
Rawat Electronics,"Burari, Delhi",110084.0,electronics shops,5.0,25.0,0,0,1,0,0.0,4,OPERATIONAL,0.27661831393639197
Kartik Gupta Electronics,"Burari, Delhi",110084.0,electronics shops,4.8,16.0,0,0,1,0,0.0,4,OPERATIONAL,0.2711537724716451
Guru Ji Ki Dukan,"Burari, Delhi",110084.0,electronics shops,3.8,243.0,0,0,0,0,0.0,4,OPERATIONAL,0.3283987690329913
S.S ELECTRONICS,"Burari, Delhi",110084.0,electronics shops,5.0,296.0,0,1,1,0,0.0,3,OPERATIONAL,0.5442796921002588
Rajdhani Electronics,"Burari, Delhi",110084.0,electronics shops,5.0,1.0,0,0,1,0,0.0,4,OPERATIONAL,0.23722903536985135
Ashish Electronics - Best Electronic Repair Shop in Tomar Colony burari,"Burari, Delhi",110084.0,electronics shops,4.5,2.0,0,0,1,0,0.0,7,OPERATIONAL,0.3024257503281052
Gambhir Computers,"Burari, Delhi",110084.0,electronics shops,4.4,211.0,0,1,1,0,0.0,7,OPERATIONAL,0.6603908224711129
Mi Store Burari Jai Shri Shyam Enterprises,"Burari, Delhi",110084.0,electronics shops,4.2,33.0,0,0,1,0,0.0,5,OPERATIONAL,0.27490088186874034
Morex Electronics,"Burari, Delhi",110084.0,electronics shops,5.0,4.0,0,0,1,0,0.0,4,OPERATIONAL,0.23931758262831906
Dr Parashar Clinic (Dr L.R Parashar),"Burari, Delhi",110084.0,clinics,4.9,71.0,0,0,1,0,0.0,4,OPERATIONAL,0.3870693456612638
HOPE CLINIC,"Burari, Delhi",110084.0,clinics,5.0,38.0,0,1,1,0,0.0,5,OPERATIONAL,0.4996175821856493
Vanya Health Clinic,"Burari, Delhi",110084.0,clinics,5.0,42.0,0,0,1,0,0.0,4,OPERATIONAL,0.3787348878670082
Ekta Clinic,"Burari, Delhi",110084.0,clinics,4.9,25.0,0,1,1,0,0.0,4,OPERATIONAL,0.3166490761468478
Kaushik Clinic,"Burari, Delhi",110084.0,clinics,4.9,11.0,0,0,1,0,0.0,4,OPERATIONAL,0.2780364982297936
