Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Daily_Return,MA_7,MA_30,Volatility_7,RSI_14,Close_Lag_1,Close_Lag_2,Close_Lag_3,Target_Next_Return
2019-02-13,40.55127334594727,42.54499816894531,43.119998931884766,42.47999954223633,42.84749984741211,89960800,AAPL,-0.41547587126400387,42.86678532191685,39.79608319600423,1.1407796132122747,75.20181134121003,42.72249984741211,42.35749816894531,42.602500915527344,0.36432624436515076
2019-02-14,40.69900131225586,42.70000076293945,42.81499862670898,42.345001220703125,42.4275016784668,87342800,AAPL,0.36432624436515404,42.74607140677316,39.903416570027666,0.8687730536769798,71.56082413468086,42.54499816894531,42.72249984741211,42.35749816894531,-0.22248529041146828
2019-02-15,40.60846710205078,42.60499954223633,42.92499923706055,42.4375,42.8125,98507200,AAPL,-0.22248529041146714,42.60964257376535,40.13866653442383,0.8588266454124991,74.21118619553603,42.70000076293945,42.54499816894531,42.72249984741211,0.29925743006425576
2019-02-19,40.72996520996094,42.73249816894531,42.86000061035156,42.372501373291016,42.4275016784668,75891200,AAPL,0.2992574300642481,42.609285082135884,40.327583185831706,0.5186236598081718,78.96608148451168,42.60499954223633,42.70000076293945,42.54499816894531,0.6435418888726617
2019-02-20,40.992095947265625,43.00749969482422,43.33000183105469,42.747501373291016,42.79750061035156,104457600,AAPL,0.6435418888726563,42.66714205060686,40.528416570027666,0.5479254606636846,68.24537515336769,42.73249816894531,42.60499954223633,42.70000076293945,-0.5638558551334831
2019-02-21,40.76095581054688,42.76499938964844,43.09249877929688,42.57500076293945,42.95000076293945,68998800,AAPL,-0.5638558551334882,42.72535651070731,40.697666549682616,0.5455047836418292,62.58165426131358,43.00749969482422,42.73249816894531,42.60499954223633,1.116569443101468
2019-02-22,41.21607971191406,43.24250030517578,43.25,42.845001220703125,42.89500045776367,75652800,AAPL,1.1165694431014783,42.79964229038784,40.86149991353353,0.6068953433149968,65.97320838135545,42.76499938964844,43.00749969482422,42.73249816894531,0.7284468393037892
2019-02-25,41.51631927490234,43.557498931884766,43.96749877929688,43.48749923706055,43.540000915527344,87493600,AAPL,0.7284468393037979,42.94428525652204,41.03174985249837,0.5746965509885698,58.911445428536226,43.24250030517578,42.76499938964844,43.00749969482422,0.057398901433720166
2019-02-26,41.54016876220703,43.58250045776367,43.82500076293945,43.29249954223633,43.4275016784668,68280800,AAPL,0.05739890143372506,43.07035664149693,41.21541659037272,0.5839842195112738,50.539987410729886,43.557498931884766,43.24250030517578,42.76499938964844,0.309753502243495
2019-02-27,41.66883087158203,43.71749877929688,43.75,43.182498931884766,43.3025016784668,111341600,AAPL,0.30975350224349274,43.22928510393415,41.42266654968262,0.53837957720923,52.19202446496179,43.58250045776367,43.557498931884766,43.24250030517578,-0.9835885336135217
